PassengerId,Survived
751,1
752,0
753,1
754,1
755,0
756,1
757,0
758,1
759,1
760,0
761,1
762,0
763,0
764,0
765,0
766,0
767,1
768,0
769,0
770,1
771,0
772,0
773,0
774,0
775,1
776,0
777,0
778,0
779,0
780,1
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,0
793,0
794,1
795,0
796,1
797,0
798,1
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,1
814,1
815,0
816,0
817,1
818,0
819,0
820,0
821,1
822,0
823,0
824,0
825,1
826,0
827,1
828,0
829,1
830,0
831,0
832,0
833,1
834,0
835,0
836,0
837,0
838,1
839,1
840,0
841,0
842,0
843,0
844,1
845,0
846,1
847,1
848,0
849,0
850,0
851,0
852,0
853,1
854,0
855,0
856,1
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,1
873,0
874,1
875,0
876,0
877,0
878,1
879,1
880,0
881,0
882,0
883,0
884,1
885,0
886,1
887,0
888,0
889,1
890,1
891,0
892,1
893,0
894,0
895,0
896,1
897,1
898,1
899,0
900,0
901,0
902,0
903,0
904,0
905,1
906,0
907,1
908,0
909,0
910,0
911,0
912,0
913,0
914,1
915,1
916,0
917,0
918,1
919,0
920,0
921,0
922,0
923,1
924,0
925,0
926,0
927,1
928,1
929,0
930,0
931,0
932,0
933,0
934,1
935,0
936,1
937,1
938,0
939,1
940,1
941,0
942,0
943,1
944,0
945,0
946,0
947,1
948,1
949,0
950,0
951,0
952,0
953,1
954,0
955,0
956,1
957,0
958,0
959,0
960,1
961,0
962,0
963,1
964,0
965,0
966,1
967,0
968,0
969,0
970,1
971,1
972,1
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,1
981,1
982,0
983,0
984,0
985,1
986,0
987,1
988,1
989,1
990,1
991,1
992,0
993,1
994,0
995,0
996,1
997,0
998,1
999,1
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,1
1010,1
1011,0
1012,1
1013,1
1014,0
1015,0
1016,0
1017,0
1018,0
1019,1
1020,1
1021,0
1022,0
1023,1
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,0
1035,1
1036,0
1037,0
1038,0
1039,1
1040,1
1041,1
1042,1
1043,0
1044,1
1045,0
1046,0
1047,0
1048,1
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,0
1062,0
1063,0
1064,1
1065,1
1066,1
1067,1
1068,0
1069,1
1070,1
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,1
1078,0
1079,0
1080,1
1081,0
1082,0
1083,1
1084,0
1085,0
1086,0
1087,0
1088,0
1089,1
1090,1
1091,1
1092,0
1093,0
1094,0
1095,0
1096,0
1097,1
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,1
1119,1
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,1
1130,0
1131,1
1132,0
1133,1
1134,1
1135,0
1136,0
1137,1
1138,0
1139,0
1140,0
1141,1
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,1
1149,1
1150,0
1151,1
1152,1
1153,0
1154,1
1155,0
1156,0
1157,1
1158,0
1159,0
1160,0
1161,1
1162,0
1163,1
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,1
1173,1
1174,0
1175,0
1176,0
1177,0
1178,1
1179,0
1180,1
1181,0
1182,0
1183,1
1184,0
1185,0
1186,1
1187,0
1188,0
1189,1
1190,0
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,0
1198,0
1199,0
1200,1
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,1
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,1
1217,0
1218,1
1219,0
1220,0
1221,1
1222,0
1223,1
1224,1
1225,0
1226,1
1227,0
1228,0
1229,1
1230,0
1231,0
1232,1
1233,0
1234,0
1235,0
1236,1
1237,0
1238,1
1239,1
1240,0
1241,0
1242,0
1243,0
1244,1
1245,0
1246,0
1247,1
1248,1
1249,1
1250,0
1251,0
1252,1
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,1
1260,1
1261,0
1262,0
1263,1
1264,0
1265,0
1266,1
1267,0
1268,0
1269,0
1270,1
1271,1
1272,0
1273,0
1274,1
1275,0
1276,0
1277,1
1278,0
1279,1
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,1
1288,0
1289,0
1290,0
1291,1
1292,0
1293,1
1294,0
1295,0
1296,0
1297,0
1298,1
1299,0
1300,1
1301,0
1302,0
1303,0
1304,1
1305,0
1306,1
1307,0
1308,0
1309,1
